2024-05-15 13:06:26 DEBUG TestNG:82 - suiteXmlPath: "C:\Users\sampa\eclipse-workspace\OpencartV121\master.xml"
2024-05-15 13:06:32 INFO  TC001_AccountRegistrationTest:19 - ***** Starting TC001_AccountRegistrationTest *****
2024-05-15 13:06:33 INFO  TC001_AccountRegistrationTest:24 - clicked on My Account.....
2024-05-15 13:06:33 INFO  TC001_AccountRegistrationTest:27 - clicked on Register.....
2024-05-15 13:06:34 INFO  TC001_AccountRegistrationTest:30 - Entering customer details.....
2024-05-15 13:06:38 INFO  TC001_AccountRegistrationTest:43 - validating confirmation message......
2024-05-15 13:06:38 INFO  TC001_AccountRegistrationTest:64 - ********* Finished TC001_AccountRegistrationTest *******
2024-05-15 13:06:42 INFO  TC002_LoginTest:17 - ***** started Execution *****
2024-05-15 13:06:43 INFO  TC002_LoginTest:23 - clicked on MyAccount....
2024-05-15 13:06:43 INFO  TC002_LoginTest:26 - clicked on Login....
2024-05-15 13:06:43 INFO  TC002_LoginTest:31 - Entering email....
2024-05-15 13:06:43 INFO  TC002_LoginTest:34 - entering password....
2024-05-15 13:06:43 INFO  TC002_LoginTest:37 - clicked on login button....
2024-05-15 13:06:44 INFO  TC002_LoginTest:54 - ***** Finished Execution *****
